TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/09/13
TIME	10:28:53
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 1500.0000
LASTX	  300.0000
NPOINTS	    1201
FIRSTY	    21.31707
MAXY	    28.99502
MINY	    -0.61761
XYDATA
829.0000	0.01179
828.0000	0.0121448
827.0000	0.0125341
826.0000	0.0126782
825.0000	0.0128222
824.0000	0.0131443
823.0000	0.0133604
822.0000	0.0133953
821.0000	0.0135072
820.0000	0.0135094
819.0000	0.0136931
818.0000	0.0136531
817.0000	0.0135517
816.0000	0.0136968
815.0000	0.0137333
814.0000	0.0136661
813.0000	0.013562
812.0000	0.0134901
811.0000	0.0136333
810.0000	0.0136696
809.0000	0.0136724
808.0000	0.0137798
807.0000	0.0139222
806.0000	0.0137474
805.0000	0.0136426
804.0000	0.0134943
803.0000	0.0134606
802.0000	0.0134944
801.0000	0.0133521
800.0000	0.0133201
799.0000	0.0135669
798.0000	0.0136001
797.0000	0.0135369
796.0000	0.013392
795.0000	0.013321
794.0000	0.0133944
793.0000	0.0133931
792.0000	0.0133255
791.0000	0.0135392
790.0000	0.0136779
789.0000	0.0138292
788.0000	0.0136792
787.0000	0.0136137
786.0000	0.0136503
785.0000	0.0136121
784.0000	0.0134725
783.0000	0.0135052
782.0000	0.0135848
781.0000	0.0136852
780.0000	0.0136164
779.0000	0.0135528
778.0000	0.0136192
777.0000	0.0135476
776.0000	0.0136557
775.0000	0.0135851
774.0000	0.0136558
773.0000	0.013624
772.0000	0.0136602
771.0000	0.0136309
770.0000	0.0134477
769.0000	0.0134125
768.0000	0.0134903
767.0000	0.0135909
766.0000	0.013598
765.0000	0.0136697
764.0000	0.0136356
763.0000	0.0138167
762.0000	0.0138111
761.0000	0.0137125
760.0000	0.0137812
759.0000	0.0136383
758.0000	0.0138224
757.0000	0.0137488
756.0000	0.0137927
755.0000	0.0138542
754.0000	0.0137174
753.0000	0.0138938
752.0000	0.0138933
751.0000	0.0140795
750.0000	0.0139977
749.0000	0.013972
748.0000	0.0141851
747.0000	0.01411
746.0000	0.0141192
